stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion
MCL,Madhav Copper Ltd,Materials,Smallcap,High Risk,bad
MCLEODRUSS,McLeod Russel India Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
MCLOUD,Magellanic Cloud Ltd,Information Technology,Smallcap,Low Risk,bad
MCLTD,Munoth Communication Ltd,Information Technology,Smallcap,Low Risk,bad
MDL,Marvel Decor Ltd,Consumer Discretionary,Smallcap,High Risk,bad
MDRNSTL,Modern Steel Ltd,Materials,Smallcap,High Risk,bad
MEDICAMEQ,Medicamen Biotech Ltd,Health Care,Smallcap,Moderate Risk,bad
MEDICAPQ,Medi Caps Ltd,Health Care,Smallcap,Moderate Risk,bad
MEDICO,Medico Remedies Ltd,Health Care,Smallcap,Moderate Risk,bad
MEDINOV,Medinova Diagnostic Services Ltd,Health Care,Smallcap,High Risk,bad
MEERA,Meera Industries Ltd,Industrials,Smallcap,High Risk,bad
MEGACOR,Mega Corp Ltd,Financials,Smallcap,Moderate Risk,bad
MEGASOFT,Megasoft Ltd,Information Technology,Smallcap,Moderate Risk,bad
MEGASTAR,Megastar Foods Ltd,Consumer Staples,Smallcap,High Risk,bad
MEGLON,Meglon infra-Real (India) Ltd,Real Estate,Smallcap,Low Risk,bad
MEGRISOFT,Megri Soft Ltd,Information Technology,Smallcap,Moderate Risk,bad
MEHAI,Mehai Technology Ltd,Industrials,Smallcap,Moderate Risk,bad
MEHIF,Mehta Integrated Finance Ltd,Financials,Smallcap,Moderate Risk,bad
MEHSECU,Mehta Securities Ltd,Financials,Smallcap,Low Risk,bad
MEL,Meenakshi Enterprises Ltd,Financials,Smallcap,Moderate Risk,bad
MELSTAR,Melstar Information Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
MENNPIS,Menon Pistons Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MENONBE,Menon Bearings Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MEP,MEP Infrastructure Developers Ltd,Industrials,Smallcap,Moderate Risk,bad
MERCANTILE,Mercantile Ventures Ltd,Real Estate,Smallcap,High Risk,bad
MERCATOR,Mercator Ltd,Industrials,Smallcap,High Risk,bad
MERCTRD,Mercury Trade Links Ltd,Financials,Smallcap,Low Risk,bad
MERCURYLAB,Mercury Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad
MESCON,Mideast Integrated Steels Ltd,Materials,Smallcap,Moderate Risk,bad
MESPHAR-B,Mesco Pharmaceuticals Ltd,Health Care,Smallcap,Low Risk,bad
METALCO,Metal Coatings (India) Ltd,Materials,Smallcap,Moderate Risk,bad
METALFORGE,Metalyst Forgings Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
METKORE,Metkore Alloys & Industries Ltd,Materials,Smallcap,High Risk,bad
METROGLOBL,Metroglobal Ltd,Industrials,Smallcap,Moderate Risk,bad
METROPOLIS,Metropolis Healthcare Ltd,Health Care,Midcap,Low Risk,bad
METSL,Maestros Electronics & Telecommunications Systems Ltd,Information Technology,Smallcap,Moderate Risk,bad
MEWATZI,Mewat Zinc Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
MFSINTRCRP,MFS Intercorp Ltd,Materials,Smallcap,Low Risk,bad
MGEL,Mangalam Global Enterprise Ltd,Materials,Smallcap,Moderate Risk,bad
MHHL,Mohini Health & Hygiene Ltd,Health Care,Smallcap,High Risk,bad
MHLXMIRU,Mahalaxmi Rubtech Ltd,Consumer Discretionary,Smallcap,High Risk,bad
MHRIL,Mahindra Holidays and Resorts India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MHSGRMS,Mahasagar Travels Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
MIC,MIC Electronics Ltd,Industrials,Smallcap,High Risk,bad
MIDEASTP,Mideast Portfolio Management Ltd,Financials,Smallcap,Low Risk,bad
MIDINDIA,Mid India Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
MIDINFRA,Midas Infra Trade Ltd,Financials,Smallcap,Moderate Risk,bad
MIDWEST,Midwest Gold Ltd,Materials,Smallcap,Low Risk,bad
MIL,Medico Intercontinental Ltd,Health Care,Smallcap,Moderate Risk,bad
MILEFUR,Milestone Furniture Ltd,Industrials,Smallcap,Moderate Risk,bad
MILLENNIUM,Millennium Online Solutions (India) Ltd,Information Technology,Smallcap,Moderate Risk,bad
MILTON,Milton Industries Ltd,Materials,Smallcap,Moderate Risk,bad
MINAXI,Minaxi Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MINDPOOL,Mindpool Technologies Ltd,Information Technology,Smallcap,High Risk,bad
MINDTECK,Mindteck (India) Ltd,Information Technology,Smallcap,Moderate Risk,bad
MINDTREE,MindTree Ltd,Information Technology,Midcap,Low Risk,bad
MINFY,Mahaveer Infoway Ltd,Information Technology,Smallcap,Moderate Risk,bad
MINID,Mini Diamonds (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MINOLTAF,Minolta Finance Ltd,Financials,Smallcap,Moderate Risk,bad
MIRCELECTR,MIRC Electronics Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MIRCH,Mirch Technologies (India) Ltd,Industrials,Smallcap,Low Risk,bad
MIRZAINT,Mirza International Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MISHKA,Mishka Exim Ltd,Industrials,Smallcap,Low Risk,bad
MISHTANN,Mishtann Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
MITCON,MITCON Consultancy & Engineering Services Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
MITSHI,Mitshi India Ltd,Industrials,Smallcap,High Risk,bad
MITSU,Mitsu Chem Plast Ltd,Materials,Smallcap,Moderate Risk,bad
MITTAL,Mittal Life Style Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MIVENMACH,Miven Machine Tools Ltd,Industrials,Smallcap,Moderate Risk,bad
MKPL,M K Proteins Ltd,Consumer Staples,Smallcap,Low Risk,bad
MKTCREAT,Market Creators Ltd,Financials,Smallcap,Low Risk,bad
MLKFOOD,Milk Food Ltd,Consumer Staples,Smallcap,Low Risk,bad
MMP,MMP Industries Ltd,Materials,Smallcap,High Risk,bad
MMRUBBR-B,MM Rubber Company Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MMTC,MMTC Ltd,Industrials,Smallcap,High Risk,bad
MMWL,Media Matrix Worldwide Ltd,Communication Services,Smallcap,Moderate Risk,bad
MNIL,Mega Nirman & Industries Ltd,Materials,Smallcap,Moderate Risk,bad
MODERN,Modern India Ltd,Industrials,Smallcap,Moderate Risk,bad
MODINATUR,Modi Naturals Ltd,Consumer Staples,Smallcap,High Risk,bad
MODINSU,Modern Insulators Ltd,Industrials,Smallcap,Low Risk,bad
MODIPON,Modipon Ltd,Real Estate,Smallcap,Moderate Risk,bad
MODIRUBBER,Modi Rubber Ltd,Consumer Discretionary,Smallcap,High Risk,bad
MODISNME,Modison Metals Ltd,Industrials,Smallcap,Moderate Risk,bad
MODRNSH,Modern Shares and Stockbrokers Ltd,Financials,Smallcap,Low Risk,bad
MODULEX,Modulex Construction Technologies Ltd,Industrials,Smallcap,Moderate Risk,bad
MODWOOL,Modella Woollens Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MOHITE,Mohite Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MOHITIND,Mohit Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MOHITPPR,Mohit Paper Mills Ltd,Materials,Smallcap,High Risk,bad
MOHOTAIND,Mohota Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
MOKSH,Moksh Ornaments Ltd,Consumer Discretionary,Smallcap,High Risk,bad
MOLDTECH,Mold-Tek Technologies Ltd,Industrials,Smallcap,Moderate Risk,bad
MONARCH,Monarch Networth Capital Ltd,Financials,Smallcap,Moderate Risk,bad
MONEYBOXX,Moneyboxx Finance Ltd,Financials,Smallcap,Moderate Risk,bad
MONGIPA,Moongipa Capital Finance Ltd,Financials,Smallcap,Low Risk,bad
MONIND,Monind Ltd,Materials,Smallcap,Low Risk,bad
MONNETPRO,MPDLLtd,Real Estate,Smallcap,Moderate Risk,bad
MONTECARLO,Monte Carlo Fashions Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MOONGIPASEC,Moongipa Securities Ltd,Financials,Smallcap,Low Risk,bad
MORARJEE,Morarjee Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MOREPENLAB,Morepen Laboratories Ltd,Health Care,Smallcap,High Risk,bad
MORGANITE,Morganite Crucible (India) Ltd,Industrials,Smallcap,High Risk,bad
MOSCHIP,Moschip Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
MOTOGENFIN,Motor and General Finance Ltd,Real Estate,Smallcap,High Risk,bad
MOUNTSHIQ,Mount Shivalik Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MPAGI,MPAgro Industries Ltd,Materials,Smallcap,Moderate Risk,bad
MPFSL,MPF Systems Ltd,Industrials,Smallcap,Moderate Risk,bad
MPL,MPL Plastics Ltd,Materials,Smallcap,High Risk,bad
MPTODAY,Madhya Pradesh Today Media Ltd,Communication Services,Smallcap,High Risk,bad
MRCEXIM,MRC Exim Ltd,Industrials,Smallcap,High Risk,bad
MRF,MRF Ltd,Consumer Discretionary,Midcap,Low Risk,bad
MRO-TEK,MRO-TEK Reality Ltd,Information Technology,Smallcap,Moderate Risk,bad
MRSS,Majestic Research Services and Solutions Ltd,Industrials,Smallcap,High Risk,bad
MSL,Mangalam Seeds Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
MSPL,MSP Steel & Power Ltd,Materials,Smallcap,Moderate Risk,bad
MSRINDIA,MSR India Ltd,Consumer Staples,Smallcap,High Risk,bad
MSTCLTD,MSTC Ltd,Industrials,Smallcap,High Risk,bad
MTARTECH,MTAR Technologies Ltd,Industrials,Smallcap,Moderate Risk,bad
MTEDUCARE,MT Educare Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MTNL,Mahanagar Telephone Nigam Ltd,Communication Services,Smallcap,High Risk,bad
MTPL,Marg Techno-Projects Ltd,Financials,Smallcap,High Risk,bad
MUKANDENGG,Mukand Engineers Ltd,Industrials,Smallcap,High Risk,bad
MUKANDLTD,Mukand Ltd,Materials,Smallcap,Moderate Risk,bad
MUKATPIP,Mukat Pipes Ltd,Industrials,Smallcap,Moderate Risk,bad
MUKESHB,Mukesh Babu Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
MUKTA,Mukta Agriculture Ltd,Industrials,Smallcap,High Risk,bad
MUKTAARTS,Mukta Arts Ltd,Communication Services,Smallcap,Moderate Risk,bad
MUL,Mauria Udyog Ltd,Utilities,Smallcap,Moderate Risk,bad
MULLER,Muller and Phipps (India) Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
MULTIBASE,Multibase India Ltd,Materials,Smallcap,High Risk,bad
MUNCAPM,Munoth Capital Market Ltd,Financials,Smallcap,Low Risk,bad
MUNJALAU,Munjal Auto Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MUNJALSHOW,Munjal Showa Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
MUNOTHFI,Munoth Financial Services Ltd,Financials,Smallcap,Low Risk,bad
MURUDCERA,Murudeshwar Ceramics Ltd,Industrials,Smallcap,High Risk,bad
MUTHOOTFIN,Muthoot Finance Ltd,Financials,Largecap,Moderate Risk,bad
MYMONEY,MY Money Securities Ltd,Financials,Smallcap,Low Risk,bad
MYSORPETRO,Mysore Petro Chemicals Ltd,Materials,Smallcap,High Risk,bad
NACLIND,NACL Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NAGAFERT,Nagarjuna Fertilizers and Chemicals Ltd,Materials,Smallcap,Moderate Risk,bad
NAGPI,Nagpur Power and Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd,Financials,Smallcap,High Risk,bad
NAGREEKEXP,Nagreeka Exports Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NAGTECH,Nagarjuna Agri Tech Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
NAHARCAP,Nahar Capital and Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
NAHARINDUS,Nahar Industrial Enterprises Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NAHARPOLY,Nahar Poly Films Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NAHARSPING,Nahar Spinning Mills Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NALINLEA,Nalin Lease Finance Ltd,Financials,Smallcap,Moderate Risk,bad
NAM,Nam Securities Ltd,Financials,Smallcap,Moderate Risk,bad
NAM-INDIA,Nippon Life India Asset Management Ltd,Financials,Midcap,Moderate Risk,bad
NANDANI,Nandani Creation Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NAPL,Naturite Agro Products Ltd,Consumer Staples,Smallcap,Low Risk,bad
NARAYANI,Narayani Steels Ltd,Materials,Smallcap,High Risk,bad
NARBADA,Narbada Gems and Jewellery Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NARMADA,Narmada Agrobase Ltd,Consumer Staples,Smallcap,High Risk,bad
NARMP,Narmada Macplast Drip Irrigation Systems Ltd,Industrials,Smallcap,Moderate Risk,bad
NATCAPSUQ,Natural Capsules Ltd,Health Care,Smallcap,High Risk,bad
NATCOPHARM,Natco Pharma Ltd,Health Care,Midcap,Low Risk,bad
NATFIT,National Fittings Ltd,Materials,Smallcap,High Risk,bad
NATGENI,National General Industries Ltd,Materials,Smallcap,Low Risk,bad
NATHBIOGEN,Nath Bio-Genes (I) Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
NATHIND,Nath Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NATHUEC,Natura Hue Chem Ltd,Industrials,Smallcap,Moderate Risk,bad
NATIONALUM,National Aluminium Co Ltd,Materials,Smallcap,Moderate Risk,bad
NATIONSTD,National Standard (India) Ltd,Real Estate,Smallcap,Moderate Risk,bad
NATNLSTEEL,National Steel and Agro Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NATPEROX,National Peroxide Ltd,Materials,Smallcap,Moderate Risk,bad
NATPLAS,National Plastic Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NATPLASTI,National Plastic Technologies Ltd,Materials,Smallcap,Moderate Risk,bad
NATPLY,National Plywood Industries Ltd,Industrials,Smallcap,High Risk,bad
NAUKRI,Info Edge (India) Ltd,Communication Services,Largecap,Moderate Risk,bad
NAVBLDR,Navkar Builders Ltd,Materials,Smallcap,Moderate Risk,bad
NAVIGANT,Navigant Corporate Advisors Ltd,Financials,Smallcap,Moderate Risk,bad
NAVKARCORP,Navkar Corporation Ltd,Industrials,Smallcap,Moderate Risk,bad
NAVKETAN,Navketan Merchants Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NAYSAA,Naysaa Securities Ltd,Financials,Smallcap,Moderate Risk,bad
NAZARA,Nazara Technologies Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NBCC,NBCC (India) Ltd,Industrials,Smallcap,Moderate Risk,bad
NBIFIN,NBI Industrial Finance Company Ltd,Financials,Smallcap,Low Risk,bad
NBVENTURES,Nava Bharat Ventures Ltd,Industrials,Smallcap,Moderate Risk,bad
NCCBLUE,NCC Blue Water Products Ltd,Consumer Staples,Smallcap,Low Risk,bad
NCLIND,Ncl Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NCLRESE,NCLResearch and Financial Services Ltd,Financials,Smallcap,Moderate Risk,bad
NDGL,Naga Dhunseri Group Ltd,Financials,Smallcap,High Risk,bad
NDL,Nandan Denim Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NDRAUTO,NDR Auto Components Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NDTV,New Delhi Television Ltd,Communication Services,Smallcap,Moderate Risk,bad
NEAGI,Neelamalai Agro Industries Ltd,Consumer Staples,Smallcap,Low Risk,bad
NECCLTD,North Eastern Carrying Corporation Ltd,Industrials,Smallcap,High Risk,bad
NECLIFE,Nectar Life sciences Ltd,Health Care,Smallcap,High Risk,bad
NEELKAN,Neelkanth Rock-Minerals Ltd,Industrials,Smallcap,Low Risk,bad
NEERAJ,Neeraj Paper Marketing Ltd,Materials,Smallcap,Low Risk,bad
NEIL,Neil Industries Ltd,Financials,Smallcap,High Risk,bad
NELCAST,Nelcast Ltd,Materials,Smallcap,Moderate Risk,bad
NELCO,Nelco Ltd,Information Technology,Smallcap,Moderate Risk,bad
NEOINFRA,Neo Infracon Ltd,Real Estate,Smallcap,Low Risk,bad
NESTLEIND,Nestle India Ltd,Consumer Staples,Largecap,Low Risk,bad
NETLINK,Netlink Solutions (India) Ltd,Information Technology,Smallcap,Moderate Risk,bad
NETTLINX,Nettlinx Ltd,Information Technology,Smallcap,Moderate Risk,bad
NETWORK18,Network18 Media & Investments Ltd,Communication Services,Smallcap,Moderate Risk,bad
NEULANDLAB,Neuland Laboratories Ltd,Health Care,Smallcap,High Risk,bad
NEXTMEDIA,Next Mediaworks Ltd,Communication Services,Smallcap,Moderate Risk,bad
NFL,National Fertilizers Ltd,Materials,Smallcap,High Risk,bad
NGIL,Nakoda Group of Industries Ltd,Consumer Staples,Smallcap,High Risk,bad
NGIND,N G Industries Ltd,Health Care,Smallcap,Moderate Risk,bad
NGLFINE,Ngl Fine Chem Ltd,Health Care,Smallcap,Moderate Risk,bad
NHCFOODS,Nhc Foods Ltd,Consumer Staples,Smallcap,High Risk,bad
NIACL,New India Assurance Company Ltd,Financials,Midcap,Moderate Risk,bad
NIBL,NRB Industrial Bearings Ltd,Industrials,Smallcap,Moderate Risk,bad
NICCOPAR,Nicco Parks & Resorts Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NIDL,Narendra Investments (Delhi) Ltd,Financials,Smallcap,Moderate Risk,bad
NIKHILAD,Nikhil Adhesives Ltd,Materials,Smallcap,High Risk,bad
NIKKIGL,Nikki Global Finance Ltd,Financials,Smallcap,Low Risk,bad
NILACHAL,Nilachal Refractories Ltd,Materials,Smallcap,Low Risk,bad
NILAINFRA,Nila Infrastructures Ltd,Real Estate,Smallcap,High Risk,bad
NILASPACES,Nila Spaces Ltd,Real Estate,Smallcap,High Risk,bad
NILE,Nile Ltd,Materials,Smallcap,Moderate Risk,bad
NILKAMAL,Nilkamal Ltd,Materials,Smallcap,Low Risk,bad
NIMBSPROJ,Nimbus Projects Ltd,Real Estate,Smallcap,Moderate Risk,bad
NINSYS,NINtec Systems Ltd,Information Technology,Smallcap,High Risk,bad
NIPPOBATRY,Indo National Ltd,Industrials,Smallcap,Moderate Risk,bad
NIRAJ,Niraj Cement Structurals Ltd,Industrials,Smallcap,Moderate Risk,bad
NIRAJISPAT,Niraj Ispat Industries Ltd,Consumer Discretionary,Smallcap,High Risk,bad
NIRLON,Nirlon Ltd,Real Estate,Smallcap,Low Risk,bad
NITCO,Nitco Ltd,Industrials,Smallcap,Moderate Risk,bad
NITINCAST,Nitin Castings Ltd,Materials,Smallcap,Moderate Risk,bad
NITINFIRE,Nitin Fire Protection Industries Ltd,Industrials,Smallcap,High Risk,bad
NITIRAJ,Nitiraj Engineers Ltd,Information Technology,Smallcap,High Risk,bad
NITTAGELA,Nitta Gelatin India Ltd,Materials,Smallcap,Moderate Risk,bad
NIVAKA,Nivaka Fashions Ltd,Industrials,Smallcap,Low Risk,bad
NIYOGIN,Niyogin Fintech Ltd,Financials,Smallcap,Moderate Risk,bad
NKIND,N K Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
NLCINDIA,NLC India Ltd,Materials,Smallcap,Low Risk,bad
NMDC,NMDC Ltd,Materials,Largecap,Moderate Risk,bad
NMSRESRC,NMS Resources Global Ltd,Industrials,Smallcap,Moderate Risk,bad
NOGMIND,Neogem India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
NOIDATOLL,Noida Toll Bridge Company Ltd,Industrials,Smallcap,Moderate Risk,bad
NOL,National Oxygen Ltd,Materials,Smallcap,High Risk,bad
NORBTEAEXP,Norben Tea and Exports Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
NORRIS,Norris Medicines Ltd,Health Care,Smallcap,Low Risk,bad
NORTHLINK,Northlink Fiscal and Capital Services Ltd,Industrials,Smallcap,Low Risk,bad
NOUVEAU,Nouveau Global Ventures Ltd,Industrials,Smallcap,Low Risk,bad
NOVAPUB,Nova Publications India Ltd,Communication Services,Smallcap,Moderate Risk,bad
NOVARTIND,Novartis India Ltd,Health Care,Smallcap,Low Risk,bad
NOVATEOR,Novateor Research Laboratories Ltd,Consumer Staples,Smallcap,High Risk,bad
NOVIS,Nova Iron and Steel Ltd,Materials,Smallcap,Moderate Risk,bad
NRAIL,N R Agarwal Industries Ltd,Materials,Smallcap,Moderate Risk,bad
NSIL,Nalwa Sons Investments Ltd,Financials,Smallcap,Moderate Risk,bad
NSL,Northern Spirits Ltd,Consumer Staples,Smallcap,High Risk,bad
NTCIND,NTC Industries Ltd,Consumer Staples,Smallcap,High Risk,bad
NTL,Neueon Towers Ltd,Utilities,Smallcap,High Risk,bad
NURECA,Nureca Ltd,Health Care,Smallcap,High Risk,bad
NUTECGLOB,Nutech Global Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
NXTDIGITAL,NXTDigital Ltd,Communication Services,Smallcap,Low Risk,bad
NYSSACORP,Nyssa Corporation Ltd,Real Estate,Smallcap,Moderate Risk,bad
OAL,Oriental Aromatics Ltd,Materials,Smallcap,High Risk,bad
OASISEC,Oasis Securities Ltd,Financials,Smallcap,Low Risk,bad
OBCL,Orissa Bengal Carrier Ltd,Industrials,Smallcap,High Risk,bad
OCCL,Oriental Carbon & Chemicals Ltd,Materials,Smallcap,Low Risk,bad
OCEANIC,Oceanic Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
OCTAL,Octal Credit Capital Ltd,Financials,Smallcap,Low Risk,bad
OCTAWARE,Octaware Technologies Ltd,Information Technology,Smallcap,High Risk,bad
ODYSSEY,Odyssey Technologies Ltd,Information Technology,Smallcap,High Risk,bad
OILCOUNTUB,Oil Country Tubular Ltd,Energy,Smallcap,Moderate Risk,bad
OISL,OCL Iron and Steel Ltd,Materials,Smallcap,Moderate Risk,bad
OIVL,Onesource Ideas Venture Ltd,Financials,Smallcap,Low Risk,bad
OKPLA,OK Play India Ltd,Industrials,Smallcap,Moderate Risk,bad
OLECTRA,Olectra Greentech Ltd,Industrials,Smallcap,High Risk,bad
OLYOI,Olympic Oil Industries Ltd,Materials,Smallcap,Moderate Risk,bad
OMANSH,Omansh Enterprises Ltd,Consumer Discretionary,Smallcap,Low Risk,bad
OMAXAUTO,Omax Autos Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
OMAXE,Omaxe Ltd,Real Estate,Smallcap,Moderate Risk,bad
OMFURN,Omfurn India Ltd,Consumer Discretionary,Smallcap,High Risk,bad
OMINFRAL,Om Infra Ltd,Industrials,Smallcap,Moderate Risk,bad
OMKAR,Omkar Overseas Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
OMKARCHEM,Omkar Speciality Chemicals Ltd,Materials,Smallcap,High Risk,bad
OMNIAX,Omni AX's Software Ltd,Information Technology,Smallcap,Low Risk,bad
OMNITEX,Omnitex Industries (India) Ltd,Industrials,Smallcap,Moderate Risk,bad
ONEGLOBAL,One Global Service Provider Ltd,Materials,Smallcap,Moderate Risk,bad
ONELIFECAP,Onelife Capital Advisors Ltd,Financials,Smallcap,Moderate Risk,bad
ONEPOINT,One Point One Solutions Ltd,Information Technology,Smallcap,Moderate Risk,bad
ONMOBILE,Onmobile Global Ltd,Information Technology,Smallcap,High Risk,bad
ONWARDTEC,Onward Technologies Ltd,Information Technology,Smallcap,High Risk,bad
OONE,Objectone Information Systems Ltd,Information Technology,Smallcap,Moderate Risk,bad
OPTIEMUS,Optiemus Infracom Ltd,Information Technology,Smallcap,High Risk,bad
OPTOCIRCUI,Opto Circuits (India) Ltd,Health Care,Smallcap,High Risk,bad
ORBTEXP,Orbit Exports Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ORCHPHARMA,Orchid Pharma Ltd,Health Care,Smallcap,Low Risk,bad
ORGCOAT,Organic Coatings Ltd,Materials,Smallcap,Moderate Risk,bad
ORIBEVER,Orient Beverages Ltd,Consumer Staples,Smallcap,High Risk,bad
ORICONENT,Oricon Enterprises Ltd,Industrials,Smallcap,Moderate Risk,bad
ORIENTABRA,Orient Abrasives Ltd,Materials,Smallcap,Moderate Risk,bad
ORIENTALTL,Oriental Trimex Ltd,Materials,Smallcap,Moderate Risk,bad
ORIENTBELL,Orient Bell Ltd,Industrials,Smallcap,High Risk,bad
ORIENTHOT,Oriental Hotels Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ORIENTLTD,Orient Press Ltd,Materials,Smallcap,Moderate Risk,bad
ORIENTPPR,Orient Paper and Industries Ltd,Materials,Smallcap,Moderate Risk,bad
ORIRAIL,Oriental Rail Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad
ORISSAMINE,Orissa Minerals Development Company Ltd,Materials,Smallcap,Moderate Risk,bad
OROSMITHS,Orosil Smiths India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
ORTEL,Ortel Communications Ltd,Communication Services,Smallcap,High Risk,bad
ORTINLABSS,Ortin Laboratories Ltd,Health Care,Smallcap,High Risk,bad
OSCARGLO,Oscar Global Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
OSIAHYPER,Osia Hyper Retail Ltd,Consumer Discretionary,Smallcap,High Risk,bad
OSIAJEE,Osiajee Texfab Ltd,Consumer Discretionary,Smallcap,High Risk,bad
OSWALAGRO,Oswal Agro Mills Ltd,Real Estate,Smallcap,High Risk,bad
OSWALEA,Oswal Leasing Ltd,Financials,Smallcap,Low Risk,bad
OSWALOR,Oswal Overseas Ltd,Consumer Staples,Smallcap,High Risk,bad
OSWALSEEDS,ShreeOswal Seeds and Chemicals Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
OSWAYRN,Oswal Yarns Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad
OTCO,OTCO International Ltd,Information Technology,Smallcap,Moderate Risk,bad
OVOBELE,Ovobel Foods Ltd,Consumer Staples,Smallcap,Moderate Risk,bad
OZONEWORLD,Ozone World Ltd,Industrials,Smallcap,Low Risk,bad
PACIFICI,Pacific Industries Ltd,Materials,Smallcap,High Risk,bad
PACL,Punjab Alkalies and Chemicals Ltd,Materials,Smallcap,High Risk,bad
PADMALAYAT,Padmalaya Telefilms Ltd,Communication Services,Smallcap,Moderate Risk,bad
PAEL,Pae Ltd,Industrials,Smallcap,Moderate Risk,bad
PAGEIND,Page Industries Ltd,Consumer Discretionary,Midcap,Low Risk,bad
PAISALO,Paisalo Digital Ltd,Financials,Smallcap,High Risk,bad
PALASHSECU,Palash Securities Ltd,Financials,Smallcap,Moderate Risk,bad
PALREDTEC,Palred Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad
PALSOFT,Palsoft Infosystems Ltd,Information Technology,Smallcap,Moderate Risk,bad
PANACEABIO,Panacea Biotec Ltd,Health Care,Smallcap,High Risk,bad
PANACHE,Panache Innovations Ltd,Industrials,Smallcap,High Risk,bad
PANACHE,Panache Digilife Ltd,Information Technology,Smallcap,High Risk,bad
PANAENERG,Panasonic Energy India Co Ltd,Industrials,Smallcap,Moderate Risk,bad
PANAFIC,Panafic Industrials Ltd,Financials,Smallcap,Moderate Risk,bad
PANAMAPET,Panama Petrochem Ltd,Materials,Smallcap,High Risk,bad
