stock_symbol,stock_name,stock_industry,stock_market_cap,stock_risk_level,opinion,stock_ticker_url
MADHUDIN,Madhusudan Industries Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/madhusudan-industries-MADS?checklist=basic
MADHUSE,Madhusudan Securities Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/madhusudan-securities-MADHS?checklist=basic
MADHUVEER,Madhuveer Com 18 Network Ltd,Communication Services,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/madhuveer-com-18-network-MADH?checklist=basic
MBAPL,Madhya Bharat Agro Products Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/madhya-bharat-agro-products-MADY?checklist=basic
MPTODAY,Madhya Pradesh Today Media Ltd,Communication Services,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/madhya-pradesh-today-media-MADA?checklist=basic
MADRASFERT,Madras Fertilizers Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/madras-fertilizers-MDFT?checklist=basic
METSL,Maestros Electronics & Telecommunications Systems Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maestros-electronics-and-telecommun-systems-MET?checklist=basic
MAFATIND,Mafatlal Industries Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mafatlal-industries-MAFA?checklist=basic
MAGADSUGAR,Magadh Sugar & Energy Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/magadh-sugar-and-energy-MGAD?checklist=basic
MCLOUD,Magellanic Cloud Ltd,Information Technology,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/magellanic-cloud-MCLO?checklist=basic
MAGMA,Magma Fincorp Ltd,Financials,Smallcap,High Risk,good,https://www.tickertape.in/stocks/magma-fincorp-MAGM?checklist=basic
MAGNAELQ,Magna Electro Castings Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/magna-eletrocasting-MAGNA?checklist=basic
MAGANTR,Magnanimous Trade & Finance Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/magnanimous-trade-and-finance-MAG?checklist=basic
MAGNUM,Magnum Ventures Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/magnum-ventures-MGNM?checklist=basic
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/maha-rashtra-apex-corporation-MAAC?checklist=basic
MAHAANF,Mahaan Foods Ltd,Consumer Staples,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mahaan-foods-MAHAA?checklist=basic
MHLXMIRU,Mahalaxmi Rubtech Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mahalaxmi-rubtech-MHL?checklist=basic
MAHALXSE,Mahalaxmi Seamless Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahalaxmi-seamless-MAHAL?checklist=basic
MAHASTEEL,Mahamaya Steel Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahamaya-steel-industries-MAHA?checklist=basic
MAHANIN,Mahan Industries Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahan-industries-MAHAN?checklist=basic
MGL,Mahanagar Gas Ltd,Utilities,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/mahanagar-gas-MGAS?checklist=basic
MTNL,Mahanagar Telephone Nigam Ltd,Communication Services,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mahanagar-telephone-nigam-MTNL?checklist=basic
MAHACORP,Maharashtra Corp Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maharashtra-corporation-MAHAC?checklist=basic
MAHSCOOTER,Maharashtra Scooters Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maharashtra-scooters-MHSC?checklist=basic
MAHSEAMLES,Maharashtra Seamless Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/maharashtra-seamless-MHSM?checklist=basic
MHSGRMS,Mahasagar Travels Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mahasagar-travels-MHS?checklist=basic
MAHSHRE,Mahashree Trading Ltd,Financials,nocap,High Risk,bad,https://www.tickertape.in/stocks/mahashree-trading-MAHS?checklist=basic
MINFY,Mahaveer Infoway Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahaveer-infoway-MINF?checklist=basic
MAHAVIRIND,Mahavir Industries Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahavir-industries-MAHAV?checklist=basic
MAHESH,Mahesh Developers Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahesh-developers-MAHE?checklist=basic
MAHESHWARI,Maheshwari Logistics Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maheshwari-logistics-MAHW?checklist=basic
MAHICKRA,Mahickra Chemicals Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mahickra-chemicals-MHIC?checklist=basic
MAHINDCIE,Mahindra CIE Automotive Ltd,Consumer Discretionary,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/mahindra-cie-automotive-MAHN?checklist=basic
MAHEPC,Mahindra EPC Irrigation Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahindra-epc-irrigation-MHID?checklist=basic
MHRIL,Mahindra Holidays and Resorts India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mahindra-holidays-and-resorts-india-MAHH?checklist=basic
MAHLIFE,Mahindra Lifespace Developers Ltd,Real Estate,Smallcap,Low Risk,good,https://www.tickertape.in/stocks/mahindra-lifespace-developers-MALD?checklist=basic
MAHLOG,Mahindra Logistics Ltd,Industrials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/mahindra-logistics-MALO?checklist=basic
M&MFIN,Mahindra and Mahindra Financial Services Ltd,Financials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/mahindra-and-mahindra-financial-services-MMFS?checklist=basic
M&M,Mahindra and Mahindra Ltd,Consumer Discretionary,Largecap,Low Risk,good,https://www.tickertape.in/stocks/mahindra-and-mahindra-MAHM?checklist=basic
MAITHANALL,Maithan Alloys Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maithan-alloys-MAIT?checklist=basic
MAITRI,Maitri Enterprises Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maitri-enterprises-MAITR?checklist=basic
MAJESCO,Majesco Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/majesco-MAJC?checklist=basic
MAJESAUT,Majestic Auto Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/majestic-auto-MAJ?checklist=basic
MRSS,Majestic Research Services and Solutions Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/majestic-research-services-and-solutions-MRS?checklist=basic
MAKERSL,Makers Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/makers-laboratories-MAK?checklist=basic
MALLCOM,Mallcom (India) Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mallcom-india-MAL?checklist=basic
MALUPAPER,Malu Paper Mills Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/malu-paper-mills-MALP?checklist=basic
MANINDS,Man Industries India Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/man-industries-india-MIND?checklist=basic
MANINFRA,Man Infraconstruction Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/man-infraconstruction-MANI?checklist=basic
MANAKALUCO,Manaksia Aluminium Co Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/manaksia-aluminium-co-MANL?checklist=basic
MANAKCOAT,Manaksia Coated Metals & Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manaksia-coated-metals-and-industries-MANC?checklist=basic
MANAKSIA,Manaksia Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manaksia-MANK?checklist=basic
MANAKSTEEL,Manaksia Steels Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manaksia-steels-MANM?checklist=basic
MANALIPETC,Manali Petrochemicals Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/manali-petrochemicals-MNLI?checklist=basic
MANAPPURAM,Manappuram Finance Ltd,Financials,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/manappuram-finance-MNFL?checklist=basic
MANAS,Manas Properties Ltd,Real Estate,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/manas-properties-MANAS?checklist=basic
MANAV,Manav Infra Projects Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manav-infra-projects-MNVI?checklist=basic
TMRVL,Mandhana Retail Ventures Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mandhana-retail-ventures-TEMA?checklist=basic
MANCREDIT,Mangal Credit and Fincorp Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mangal-credit-and-fincorp-MANCR?checklist=basic
MANGLMCEM,Mangalam Cement Ltd,Materials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/mangalam-cement-MGLC?checklist=basic
MANGALAM,Mangalam Drugs and Organics Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mangalam-drugs-and-organics-MADR?checklist=basic
MGEL,Mangalam Global Enterprise Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mangalam-global-enterprise-MANP?checklist=basic
MANGIND,Mangalam Industrial Finance Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mangalam-industrial-finance-MANG?checklist=basic
MANORG,Mangalam Organics Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mangalam-organics-MANOR?checklist=basic
MSL,Mangalam Seeds Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mangalam-seeds-MSL?checklist=basic
MANGTIMBER,Mangalam Timber Products Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mangalam-timber-products-MGLT?checklist=basic
MANGCHEFER,Mangalore Chemicals and Fertilisers Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mangalore-chemicals-and-fertilisers-MNGL?checklist=basic
MRPL,Mangalore Refinery and Petrochemicals Ltd,Energy,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/mangalore-refinery-and-petrochemicals-MRPL?checklist=basic
MNPLFIN,Manipal Finance Corp Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/manipal-finance-corporation-MNP?checklist=basic
MANJEERA,Manjeera Constructions Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manjeera-constructions-MANJ?checklist=basic
MANOMAY,Manomay Tex India Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manomay-tex-india-MAN?checklist=basic
KARANWO,Manor Estates and Industries Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manor-estates-and-industries-KARA?checklist=basic
MANORAMA,Manorama Industries Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manorama-industries-MANO?checklist=basic
MANRAJH,Manraj Housing Finance Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/manraj-housing-finance-MANR?checklist=basic
MANSIFIN,Mansi Finance (Chennai) Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mansi-finance-chennai-MANS?checklist=basic
ZMANSOON,Mansoon Trading Co Ltd,N/A,nocap,High Risk,bad,https://www.tickertape.in/stocks/mansoon-trading-company-ZMA?checklist=basic
MANUGRAPH,Manugraph India Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/manugraph-india-MNUG?checklist=basic
MARALOVER,Maral Overseas Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maral-overseas-MARL?checklist=basic
MARATHON,Marathon Nextgen Realty Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/marathon-nextgen-realty-MANE?checklist=basic
MARG,Marg Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/marg-MARG?checklist=basic
MTPL,Marg Techno-Projects Ltd,Financials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/marg-techno-projects-MTP?checklist=basic
MARGOFIN,Margo Finance Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/margo-finance-MARGO?checklist=basic
MARICO,Marico Ltd,Consumer Staples,Largecap,Low Risk,good,https://www.tickertape.in/stocks/marico-MRCO?checklist=basic
MARINE,Marine Electricals (India) Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/marine-electricals-india-MARN?checklist=basic
MARIS,Maris Spinners Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maris-spinners-MARI?checklist=basic
MKTCREAT,Market Creators Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/market-creators-MKT?checklist=basic
MARKSANS,Marksans Pharma Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/marksans-pharma-MARK?checklist=basic
MARSHALL,Marshall Machines Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/marshall-machines-MARH?checklist=basic
MARBU,Martin Burn Ltd,Real Estate,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/martin-burn-MARB?checklist=basic
MAINFRA,Maruti Infrastructure Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maruti-infrastructure-MAI?checklist=basic
MARUTISE,Maruti Securities Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/maruti-securities-MARU?checklist=basic
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Largecap,Low Risk,bad,https://www.tickertape.in/stocks/maruti-suzuki-india-MRTI?checklist=basic
MDL,Marvel Decor Ltd,Consumer Discretionary,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/marvel-decor-MALR?checklist=basic
MASKINVEST,Mask Investments Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mask-investments-MASK?checklist=basic
MASTEK,Mastek Ltd,Information Technology,Smallcap,High Risk,good,https://www.tickertape.in/stocks/mastek-MAST?checklist=basic
MASCH,Master Chemicals Ltd,Consumer Discretionary,nocap,Low Risk,bad,https://www.tickertape.in/stocks/master-chemicals-MASC?checklist=basic
MASTERTR,Master Trust Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/master-trust-MASTE?checklist=basic
MATHEWE,Mathew Easow Research Securities Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mathew-easow-research-securities-MAT?checklist=basic
MATRIMONY,Matrimony.Com Ltd,Communication Services,Smallcap,High Risk,good,https://www.tickertape.in/stocks/matrimonycom-MATI?checklist=basic
MUL,Mauria Udyog Ltd,Utilities,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mauria-udyog-MUL?checklist=basic
MAWANASUG,Mawana Sugars Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mawana-sugars-MAWS?checklist=basic
MFSL,Max Financial Services Ltd,Financials,Midcap,Low Risk,good,https://www.tickertape.in/stocks/max-financial-services-MAXI?checklist=basic
MAXHEALTH,Max Healthcare Institute Ltd,Health Care,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/max-healthcare-institute-MAXE?checklist=basic
MAXHEIGHTS,Max Heights Infrastucture Ltd,Real Estate,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/max-heights-infrastructure-MAXH?checklist=basic
MAXIND,Max India Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/max-india-MAII?checklist=basic
MAXVIL,Max Ventures and Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/max-ventures-and-industries-MAXV?checklist=basic
MASL,MaxAlert Systems Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/max-alert-systems-MAS?checklist=basic
MAXIMUS,Maximus International Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/maximus-international-MAX?checklist=basic
MAYUKH,Mayukh Dealtrade Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mayukh-dealtrade-MAY?checklist=basic
MAYURFL,Mayur Floorings Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mayur-floorings-MAYUF?checklist=basic
MAYUR,Mayur Leather Products Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mayur-leather-products-MAYUR?checklist=basic
MAYURUNIQ,Mayur Uniquoters Ltd,Consumer Discretionary,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/mayur-uniquoters-MAYU?checklist=basic
MAZDOCK,Mazagon Dock Shipbuilders Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mazagon-dock-shipbuilders-MAZ?checklist=basic
MAZDA,Mazda Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mazda-MAZD?checklist=basic
MCDHOLDING,McDowell Holdings Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mcdowell-holdings-MCDH?checklist=basic
MCLEODRUSS,McLeod Russel India Ltd,Consumer Staples,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mcleod-russel-india-MCLE?checklist=basic
MBECL,McNally Bharat Engg Co Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mcnally-bharat-engg-co-MCNL?checklist=basic
MEDICAPQ,Medi Caps Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/medi-caps-MEDIC?checklist=basic
MMWL,Media Matrix Worldwide Ltd,Communication Services,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/media-matrix-worldwide-MMW?checklist=basic
MEDICAMEQ,Medicamen Biotech Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/medicamen-biotech-MEDI?checklist=basic
MIL,Medico Intercontinental Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/medico-intercontinental-MIM?checklist=basic
MEDICO,Medico Remedies Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/medico-remedies-MED?checklist=basic
MEDINOV,Medinova Diagnostic Services Ltd,Health Care,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/medinova-diagnostic-services-MEDIN?checklist=basic
MEL,Meenakshi Enterprises Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/meenakshi-enterprises-MEL?checklist=basic
MEENST,Meenakshi Steel Industries Ltd,Unknown,nocap,High Risk,bad,https://www.tickertape.in/stocks/meenakshi-steel-industries-MEEN?checklist=basic
MEERA,Meera Industries Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/meera-industries-MEE?checklist=basic
MEFCOMCAP,Mefcom Capital Markets Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mefcom-capital-markets-MEF?checklist=basic
MEGACOR,Mega Corp Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mega-corporation-MEGA?checklist=basic
MEGFI,Mega Fin (India) Ltd,Financials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/mega-fin-india-MEGF?checklist=basic
MNIL,Mega Nirman & Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mega-nirman-and-industries-MNI?checklist=basic
MEGASOFT,Megasoft Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/megasoft-MSFT?checklist=basic
MEGASTAR,Megastar Foods Ltd,Consumer Staples,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/megastar-foods-MEG?checklist=basic
TRANOCE,Megh Mayur Infra Ltd,N/A,nocap,Low Risk,bad,https://www.tickertape.in/stocks/megh-mayur-infra-TRANO?checklist=basic
MEGH,Meghmani Organics Ltd,Materials,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/meghmani-organics-MEGH?checklist=basic
MEGLON,Meglon infra-Real (India) Ltd,Real Estate,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/meglon-infra-real-india-MEGL?checklist=basic
MEGRISOFT,Megri Soft Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/megri-soft-MEGR?checklist=basic
MEHAI,Mehai Technology Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mehai-technology-MEH?checklist=basic
MEHIF,Mehta Integrated Finance Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mehta-integrated-finance-MEHI?checklist=basic
MEHSECU,Mehta Securities Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mehta-securities-MEHS?checklist=basic
MELSTAR,Melstar Information Technologies Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/melstar-information-technologies-MELS?checklist=basic
MENAMANI,Mena Mani Industries Ltd,N/A,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mena-mani-industries-MENA?checklist=basic
MENONBE,Menon Bearings Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/menon-bearings-MENO?checklist=basic
MENNPIS,Menon Pistons Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/menon-pistons-MEN?checklist=basic
MERCANTILE,Mercantile Ventures Ltd,Real Estate,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mercantile-ventures-MER?checklist=basic
MERCATOR,Mercator Ltd,Industrials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mercator-MRCT?checklist=basic
MERCURYLAB,Mercury Laboratories Ltd,Health Care,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mercury-laboratories-MERC?checklist=basic
MERCTRD,Mercury Trade Links Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mercury-trade-links-MERCT?checklist=basic
MESPHAR-B,Mesco Pharmaceuticals Ltd,Health Care,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mesco-pharmaceuticals-MES?checklist=basic
METALCO,Metal Coatings (India) Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/metal-coatings-india-META?checklist=basic
METALFORGE,Metalyst Forgings Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/metalyst-forgings-MTAL?checklist=basic
METKORE,Metkore Alloys & Industries Ltd,Materials,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/metkore-alloys-and-industries-METK?checklist=basic
METROGLOBL,Metroglobal Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/metroglobal-GLOBB?checklist=basic
METROPOLIS,Metropolis Healthcare Ltd,Health Care,Midcap,Low Risk,bad,https://www.tickertape.in/stocks/metropolis-healthcare-METP?checklist=basic
MHEL,Mewar Hi-Tech Engineering Ltd,N/A,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mewar-hi-tech-engineering-MHE?checklist=basic
MEWATZI,Mewat Zinc Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mewat-zinc-MEW?checklist=basic
MAL,Meyer Apparel Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/meyer-apparel-MAM?checklist=basic
MICROSE,Microse India Ltd,Financials,nocap,High Risk,bad,https://www.tickertape.in/stocks/microse-india-MIC?checklist=basic
MIDINDIA,Mid India Industries Ltd,Consumer Discretionary,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mid-india-industries-MIDIN?checklist=basic
MIDINFRA,Midas Infra Trade Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/midas-infra-trade-MIDI?checklist=basic
MESCON,Mideast Integrated Steels Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mideast-integrated-steels-MIDE?checklist=basic
MIDEASTP,Mideast Portfolio Management Ltd,Financials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mid-east-portfolio-management-MIDEA?checklist=basic
MIDWEST,Midwest Gold Ltd,Materials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/midwest-gold-MIDW?checklist=basic
MIHIKA,Mihika Industries Ltd,Industrials,nocap,Low Risk,bad,https://www.tickertape.in/stocks/mihika-industries-MIH?checklist=basic
MILEFUR,Milestone Furniture Ltd,Industrials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/milestone-furniture-MIL?checklist=basic
MILESTONE,Milestone Global Ltd,N/A,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/milestone-global-MILE?checklist=basic
MLKFOOD,Milk Food Ltd,Consumer Staples,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/milkfood-MLK?checklist=basic
MILLENNIUM,Millennium Online Solutions (India) Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/millennium-online-solutions-india-MILL?checklist=basic
MILTON,Milton Industries Ltd,Materials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/milton-industries-MLTO?checklist=basic
MINAXI,Minaxi Textiles Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/minaxi-textiles-MINA?checklist=basic
MINDTREE,MindTree Ltd,Information Technology,Midcap,Low Risk,bad,https://www.tickertape.in/stocks/mindtree-MINT?checklist=basic
MINDACORP,Minda Corporation Ltd,Consumer Discretionary,Smallcap,Moderate Risk,good,https://www.tickertape.in/stocks/minda-corporation-MINC?checklist=basic
MINDAIND,Minda Industries Ltd,Consumer Discretionary,Midcap,Moderate Risk,good,https://www.tickertape.in/stocks/minda-industries-MNDA?checklist=basic
MINDPOOL,Mindpool Technologies Ltd,Information Technology,Smallcap,High Risk,bad,https://www.tickertape.in/stocks/mindpool-technologies-MINP?checklist=basic
MINDSPACE,Mindspace Business Parks REIT,Real Estate,Midcap,Low Risk,good,https://www.tickertape.in/stocks/mindspace-business-parks-reit-MINS?checklist=basic
MINDTECK,Mindteck (India) Ltd,Information Technology,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mindteck-india-MDTK?checklist=basic
MINID,Mini Diamonds (India) Ltd,Consumer Discretionary,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/mini-diamonds-india-MINI?checklist=basic
MINOLTAF,Minolta Finance Ltd,Financials,Smallcap,Moderate Risk,bad,https://www.tickertape.in/stocks/minolta-finance-MINO?checklist=basic
MIRCH,Mirch Technologies (India) Ltd,Industrials,Smallcap,Low Risk,bad,https://www.tickertape.in/stocks/mirch-technologies-india-MIR?checklist=basic
